Title: ,KH03 Returns,,,
Source,https://www.england.nhs.uk/statistics/statistical-work-areas/bed-availability-and-occupancy/bed-data-overnight/,,,
,,,,
date,org_code,org_name,beds_av,occ_av
01/09/2013,R1A,Worcestershire Health And Care,129,117
01/09/2013,R1C,Solent,105,82
01/09/2013,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/09/2013,R1F,Isle Of Wight,54,42
01/09/2013,R1H,Barts Health,NA,NA
01/09/2013,R1J,Gloucestershire Care Services,NA,NA
01/09/2013,RA2,Royal Surrey County Hospital,NA,NA
01/09/2013,RA3,Weston Area Health,NA,NA
01/09/2013,RA4,Yeovil District Hospital,NA,NA
01/09/2013,RA7,University Hospitals Bristol,NA,NA
01/09/2013,RA9,South Devon Healthcare,NA,NA
01/09/2013,RAE,Bradford Teaching Hospitals,NA,NA
01/09/2013,RAJ,Southend University Hospital,NA,NA
01/09/2013,RAL,Royal Free London,6,1
01/09/2013,RAN,Royal National Orthopaedic Hospital,NA,NA
01/09/2013,RAP,North Middlesex University Hospital,NA,NA
01/09/2013,RAS,The Hillingdon Hospitals,NA,NA
01/09/2013,RAT,North East London,262,201
01/09/2013,RAX,Kingston Hospital,NA,NA
01/09/2013,RBA,Taunton And Somerset,NA,NA
01/09/2013,RBB,Royal National Hospital For Rheumatic Diseases,NA,NA
01/09/2013,RBD,Dorset County Hospital,NA,NA
01/09/2013,RBK,Walsall Healthcare,NA,NA
01/09/2013,RBL,Wirral University Teaching Hospital,NA,NA
01/09/2013,RBN,St Helens And Knowsley Hospitals,NA,NA
01/09/2013,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/09/2013,RBS,Alder Hey Children's,7,3
01/09/2013,RBT,Mid Cheshire Hospitals,NA,NA
01/09/2013,RBV,The Christie,NA,NA
01/09/2013,RBZ,Northern Devon Healthcare,NA,NA
01/09/2013,RC1,Bedford Hospital,NA,NA
01/09/2013,RC3,Ealing Hospital,NA,NA
01/09/2013,RC9,Luton And Dunstable University Hospital,NA,NA
01/09/2013,RCB,York Teaching Hospital,NA,NA
01/09/2013,RCD,Harrogate And District,NA,NA
01/09/2013,RCF,Airedale,NA,NA
01/09/2013,RCU,Sheffield Children's,21,15
01/09/2013,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/09/2013,RD1,Royal United Hospital Bath,NA,NA
01/09/2013,RD3,Poole Hospital,NA,NA
01/09/2013,RD7,Heatherwood And Wexham Park Hospitals,NA,NA
01/09/2013,RD8,Milton Keynes Hospital,NA,NA
01/09/2013,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/09/2013,RDE,Colchester Hospital University,NA,NA
01/09/2013,RDR,Sussex Community,NA,NA
01/09/2013,RDU,Frimley Park Hospital,NA,NA
01/09/2013,RDY,Dorset Healthcare University,NA,NA
01/09/2013,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/09/2013,RE9,South Tyneside,NA,NA
01/09/2013,REF,Royal Cornwall Hospitals,NA,NA
01/09/2013,REM,Aintree University Hospital,NA,NA
01/09/2013,REN,The Clatterbridge Cancer Centre,NA,NA
01/09/2013,REP,Liverpool Women's,NA,NA
01/09/2013,RET,The Walton Centre,NA,NA
01/09/2013,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/09/2013,RFF,Barnsley Hospital,NA,NA
01/09/2013,RFR,The Rotherham,NA,NA
01/09/2013,RFS,Chesterfield Royal Hospital,NA,NA
01/09/2013,RFW,West Middlesex University Hospital,NA,NA
01/09/2013,RGD,Leeds And York Partnership,503,456
01/09/2013,RGM,Papworth Hospital,NA,NA
01/09/2013,RGN,Peterborough And Stamford Hospitals,NA,NA
01/09/2013,RGP,James Paget University Hospitals,NA,NA
01/09/2013,RGQ,Ipswich Hospital,NA,NA
01/09/2013,RGR,West Suffolk,NA,NA
01/09/2013,RGT,Cambridge University Hospitals,NA,NA
01/09/2013,RH5,Somerset Partnership,155,130
01/09/2013,RH8,Royal Devon And Exeter,NA,NA
01/09/2013,RHA,Nottinghamshire Healthcare,1050,929
01/09/2013,RHM,University Hospital Southampton,NA,NA
01/09/2013,RHQ,Sheffield Teaching Hospitals,NA,NA
01/09/2013,RHU,Portsmouth Hospitals,NA,NA
01/09/2013,RHW,Royal Berkshire,NA,NA
01/09/2013,RJ1,Guy's And St Thomas',NA,NA
01/09/2013,RJ2,Lewisham And Greenwich,NA,NA
01/09/2013,RJ6,Croydon Health Services,NA,NA
01/09/2013,RJ7,St George's Healthcare,NA,NA
01/09/2013,RJ8,Cornwall Partnership,120,119
01/09/2013,RJC,South Warwickshire,NA,NA
01/09/2013,RJD,Mid Staffordshire,NA,NA
01/09/2013,RJE,University Hospital Of North Staffordshire,NA,NA
01/09/2013,RJF,Burton Hospitals,NA,NA
01/09/2013,RJL,Northern Lincolnshire And Goole,NA,NA
01/09/2013,RJN,East Cheshire,NA,NA
01/09/2013,RJR,Countess Of Chester Hospital,NA,NA
01/09/2013,RJX,Calderstones Partnership,NA,NA
01/09/2013,RJZ,King's College Hospital,NA,NA
01/09/2013,RK5,Sherwood Forest Hospitals,NA,NA
01/09/2013,RK9,Plymouth Hospitals,NA,NA
01/09/2013,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/09/2013,RKE,The Whittington Hospital,12,11
01/09/2013,RKL,West London Mental Health,751,674
01/09/2013,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/09/2013,RL4,The Royal Wolverhampton,NA,NA
01/09/2013,RLN,City Hospitals Sunderland,NA,NA
01/09/2013,RLQ,Wye Valley,NA,NA
01/09/2013,RLT,George Eliot Hospital,NA,NA
01/09/2013,RLU,Birmingham Women's,NA,NA
01/09/2013,RLY,North Staffordshire Combined Healthcare,172,142
01/09/2013,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/09/2013,RM2,University Hospital Of South Manchester,NA,NA
01/09/2013,RM3,Salford Royal,NA,NA
01/09/2013,RMC,Bolton,NA,NA
01/09/2013,RMP,Tameside Hospital,NA,NA
01/09/2013,RMY,Norfolk And Suffolk,501,418
01/09/2013,RN3,Great Western Hospitals,NA,NA
01/09/2013,RN5,Hampshire Hospitals,NA,NA
01/09/2013,RN7,Dartford And Gravesham,NA,NA
01/09/2013,RNA,The Dudley Group,NA,NA
01/09/2013,RNL,North Cumbria University Hospitals,NA,NA
01/09/2013,RNN,Cumbria Partnership,126,120
01/09/2013,RNQ,Kettering General Hospital,NA,NA
01/09/2013,RNS,Northampton General Hospital,NA,NA
01/09/2013,RNU,Oxford Health,437,407
01/09/2013,RNZ,Salisbury,NA,NA
01/09/2013,RP1,Northamptonshire Healthcare,202,190
01/09/2013,RP4,Great Ormond Street Hospital For Children,10,9
01/09/2013,RP5,Doncaster And Bassetlaw Hospitals,NA,NA
01/09/2013,RP6,Moorfields Eye Hospital,NA,NA
01/09/2013,RP7,Lincolnshire Partnership,230,184
01/09/2013,RPA,Medway,NA,NA
01/09/2013,RPC,Queen Victoria Hospital,NA,NA
01/09/2013,RPG,Oxleas,428,403
01/09/2013,RPY,The Royal Marsden,NA,NA
01/09/2013,RQ3,Birmingham Children's Hospital,36,35
01/09/2013,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/09/2013,RQ8,Mid Essex Hospital Services,NA,NA
01/09/2013,RQM,Chelsea And Westminster Hospital,NA,NA
01/09/2013,RQQ,Hinchingbrooke Health Care,NA,NA
01/09/2013,RQW,The Princess Alexandra Hospital,NA,NA
01/09/2013,RQX,Homerton University Hospital,NA,NA
01/09/2013,RQY,South West London And St George's Mental Health,430,370
01/09/2013,RR1,Heart Of England,NA,NA
01/09/2013,RR7,Gateshead Health,40,29
01/09/2013,RR8,Leeds Teaching Hospitals,NA,NA
01/09/2013,RRD,North Essex Partnership University,381,331
01/09/2013,RRE,South Staffordshire And Shropshire Healthcare,287,287
01/09/2013,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/09/2013,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/09/2013,RRK,University Hospitals Birmingham,NA,NA
01/09/2013,RRP,"Barnet, Enfield And Haringey Mental Health",498,489
01/09/2013,RRV,University College London Hospitals,11,8
01/09/2013,RT1,Cambridgeshire And Peterborough,269,244
01/09/2013,RT2,Pennine Care,501,457
01/09/2013,RT3,Royal Brompton & Harefield,NA,NA
01/09/2013,RT5,Leicestershire Partnership,401,368
01/09/2013,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/09/2013,RTE,Gloucestershire Hospitals,NA,NA
01/09/2013,RTF,Northumbria Healthcare,45,34
01/09/2013,RTG,Derby Hospitals,NA,NA
01/09/2013,RTH,Oxford University Hospitals,NA,NA
01/09/2013,RTK,Ashford And St Peter's Hospitals,NA,NA
01/09/2013,RTP,Surrey And Sussex Healthcare,NA,NA
01/09/2013,RTQ,2gether,211,187
01/09/2013,RTR,South Tees Hospitals,NA,NA
01/09/2013,RTV,5 Boroughs Partnership,300,280
01/09/2013,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/09/2013,RV3,Central And North West London,843,805
01/09/2013,RV5,South London And Maudsley,795,735
01/09/2013,RV8,North West London Hospitals,NA,NA
01/09/2013,RV9,Humber,218,161
01/09/2013,RVJ,North Bristol,23,11
01/09/2013,RVL,Barnet And Chase Farm Hospitals,NA,NA
01/09/2013,RVN,Avon And Wiltshire Mental Health Partnership,536,490
01/09/2013,RVR,Epsom And St Helier University Hospitals,NA,NA
01/09/2013,RVV,East Kent Hospitals University,NA,NA
01/09/2013,RVW,North Tees And Hartlepool,NA,NA
01/09/2013,RVY,Southport And Ormskirk Hospital,NA,NA
01/09/2013,RW1,Southern Health,472,437
01/09/2013,RW3,Central Manchester University Hospitals,10,8
01/09/2013,RW4,Mersey Care,406,365
01/09/2013,RW5,Lancashire Care,521,474
01/09/2013,RW6,Pennine Acute Hospitals,NA,NA
01/09/2013,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/09/2013,RWD,United Lincolnshire Hospitals,NA,NA
01/09/2013,RWE,University Hospitals Of Leicester,NA,NA
01/09/2013,RWF,Maidstone And Tunbridge Wells,NA,NA
01/09/2013,RWG,West Hertfordshire Hospitals,NA,NA
01/09/2013,RWH,East And North Hertfordshire,NA,NA
01/09/2013,RWJ,Stockport,NA,NA
01/09/2013,RWK,East London,660,579
01/09/2013,RWN,South Essex Partnership University,650,578
01/09/2013,RWP,Worcestershire Acute Hospitals,NA,NA
01/09/2013,RWR,Hertfordshire Partnership University,439,418
01/09/2013,RWV,Devon Partnership,292,268
01/09/2013,RWW,Warrington And Halton Hospitals,NA,NA
01/09/2013,RWX,Berkshire Healthcare,182,137
01/09/2013,RWY,Calderdale And Huddersfield,NA,NA
01/09/2013,RX1,Nottingham University Hospitals,NA,NA
01/09/2013,RX2,Sussex Partnership,605,559
01/09/2013,RX3,"Tees, Esk And Wear Valleys",719,657
01/09/2013,RX4,"Northumberland, Tyne And Wear",817,650
01/09/2013,RXA,Cheshire And Wirral Partnership,309,251
01/09/2013,RXC,East Sussex Healthcare,NA,NA
01/09/2013,RXE,Rotherham Doncaster And South Humber,264,223
01/09/2013,RXF,Mid Yorkshire Hospitals,NA,NA
01/09/2013,RXG,South West Yorkshire Partnership,470,402
01/09/2013,RXH,Brighton And Sussex University Hospitals,NA,NA
01/09/2013,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/09/2013,RXL,Blackpool Teaching Hospitals,NA,NA
01/09/2013,RXM,Derbyshire Healthcare,306,302
01/09/2013,RXN,Lancashire Teaching Hospitals,NA,NA
01/09/2013,RXP,County Durham And Darlington,NA,NA
01/09/2013,RXQ,Buckinghamshire Healthcare,NA,NA
01/09/2013,RXR,East Lancashire Hospitals,NA,NA
01/09/2013,RXT,Birmingham And Solihull Mental Health,806,625
01/09/2013,RXV,Greater Manchester West Mental Health,592,548
01/09/2013,RXW,Shrewsbury And Telford Hospital,NA,NA
01/09/2013,RXX,Surrey And Borders Partnership,287,254
01/09/2013,RXY,Kent And Medway NHS And Social Care Partnership Trust,517,488
01/09/2013,RY3,Norfolk Community Health And Care,NA,NA
01/09/2013,RY4,Hertfordshire Community,NA,NA
01/09/2013,RY5,Lincolnshire Community Health Services,NA,NA
01/09/2013,RY6,Leeds Community Healthcare,8,7
01/09/2013,RY8,Derbyshire Community Health Services,72,65
01/09/2013,RYG,Coventry And Warwickshire Partnership,271,252
01/09/2013,RYJ,Imperial College Healthcare,NA,NA
01/09/2013,RYK,Dudley And Walsall Mental Health Partnership,190,154
01/09/2013,RYQ,South London Healthcare,NA,NA
01/09/2013,RYR,Western Sussex Hospitals,NA,NA
01/09/2013,RYV,Cambridgeshire Community Services,NA,NA
01/09/2013,RYW,Birmingham Community Healthcare,NA,NA
01/09/2013,RYX,Central London Community Healthcare,NA,NA
01/09/2013,TAD,Bradford District Care Trust,203,200
01/09/2013,TAE,Manchester Mental Health And Social Care Trust,251,232
01/09/2013,TAF,Camden And Islington,178,176
01/09/2013,TAH,Sheffield Health & Social Care,238,206
01/09/2013,TAJ,Black Country Partnership,165,127
01/12/2013,R1A,Worcestershire Health And Care,129,118
01/12/2013,R1C,Solent,105,76
01/12/2013,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/12/2013,R1F,Isle Of Wight,57,50
01/12/2013,R1H,Barts Health,NA,NA
01/12/2013,R1J,Gloucestershire Care Services,NA,NA
01/12/2013,RA2,Royal Surrey County Hospital,NA,NA
01/12/2013,RA3,Weston Area Health,NA,NA
01/12/2013,RA4,Yeovil District Hospital,NA,NA
01/12/2013,RA7,University Hospitals Bristol,NA,NA
01/12/2013,RA9,South Devon Healthcare,NA,NA
